Time	V(N001)	V(N002)	V(N003)	I(V1)	I(R1)	I(C1)	I(L1)	
0.0295	4.80147	0.0166897	-0.0781168	-0.00478478	0.00478478	0.00478478	0.00478478	
0.03	4.75528	0.0095622	-0.0876366	-0.00474572	0.00474572	0.00474572	0.00474572	
0.0305	4.7044	0.00250178	-0.0970699	-0.0047019	0.0047019	0.0047019	0.0047019	
0.031	4.64888	-0.00448468	-0.106407	-0.00465337	0.00465337	0.00465337	0.00465337	
0.0315	4.58877	-0.0113903	-0.11564	-0.00460016	0.00460016	0.00460016	0.00460016	
0.032	4.52414	-0.0182084	-0.124758	-0.00454234	0.00454234	0.00454234	0.00454234	
0.0325	4.45503	-0.0249321	-0.133753	-0.00447996	0.00447996	0.00447996	0.00447996	
0.033	4.38153	-0.031555	-0.142616	-0.00441309	0.00441309	0.00441309	0.00441309	
0.0335	4.30371	-0.0380705	-0.151338	-0.00434178	0.00434178	0.00434178	0.00434178	
0.034	4.22164	-0.0444722	-0.15991	-0.00426611	0.00426611	0.00426611	0.00426611	
0.0345	4.1354	-0.0507539	-0.168325	-0.00418616	0.00418616	0.00418616	0.00418616	
0.035	4.04508	-0.0569093	-0.176573	-0.00410199	0.00410199	0.00410199	0.00410199	
0.0355	3.95078	-0.0629325	-0.184648	-0.00401371	0.00401371	0.00401371	0.00401371	
0.036	3.85257	-0.0688175	-0.19254	-0.00392138	0.00392138	0.00392138	0.00392138	
0.0365	3.75056	-0.0745586	-0.200241	-0.00382511	0.00382511	0.00382511	0.00382511	
0.037	3.64484	-0.0801502	-0.207745	-0.00372499	0.00372499	0.00372499	0.00372499	
0.0375	3.53553	-0.0855867	-0.215044	-0.00362112	0.00362112	0.00362112	0.00362112	
0.038	3.42274	-0.0908629	-0.222131	-0.0035136	0.0035136	0.0035136	0.0035136	
0.0385	3.30656	-0.0959735	-0.228999	-0.00340253	0.00340253	0.00340253	0.00340253	
0.039	3.18712	-0.100914	-0.23564	-0.00328803	0.00328803	0.00328803	0.00328803	
0.0395	3.06454	-0.105678	-0.242049	-0.00317021	0.00317021	0.00317021	0.00317021	
0.04	2.93893	-0.110263	-0.248218	-0.00304919	0.00304919	0.00304919	0.00304919	
0.0405	2.81042	-0.114663	-0.254143	-0.00292508	0.00292508	0.00292508	0.00292508	
0.041	2.67913	-0.118874	-0.259817	-0.00279801	0.00279801	0.00279801	0.00279801	
0.0415	2.54521	-0.122893	-0.265234	-0.0026681	0.0026681	0.0026681	0.0026681	
0.042	2.40877	-0.126714	-0.27039	-0.00253548	0.00253548	0.00253548	0.00253548	
0.0425	2.26995	-0.130335	-0.275279	-0.00240029	0.00240029	0.00240029	0.00240029	
0.043	2.1289	-0.133752	-0.279895	-0.00226265	0.00226265	0.00226265	0.00226265	
0.0435	1.98574	-0.136961	-0.284236	-0.0021227	0.0021227	0.0021227	0.0021227	
0.044	1.84062	-0.13996	-0.288296	-0.00198058	0.00198058	0.00198058	0.00198058	
0.0445	1.69369	-0.142745	-0.292071	-0.00183643	0.00183643	0.00183643	0.00183643	
0.045	1.54508	-0.145314	-0.295559	-0.0016904	0.0016904	0.0016904	0.0016904	
0.0455	1.39496	-0.147664	-0.298754	-0.00154262	0.00154262	0.00154262	0.00154262	
0.046	1.24345	-0.149793	-0.301654	-0.00139324	0.00139324	0.00139324	0.00139324	
0.0465	1.09072	-0.151699	-0.304257	-0.00124242	0.00124242	0.00124242	0.00124242	
0.047	0.936907	-0.15338	-0.306559	-0.00109029	0.00109029	0.00109029	0.00109029	
0.0475	0.782172	-0.154835	-0.308559	-0.000937007	0.000937007	0.000937007	0.000937007	
0.048	0.626666	-0.156061	-0.310254	-0.000782728	0.000782728	0.000782728	0.000782728	
0.0485	0.470542	-0.157059	-0.311643	-0.000627601	0.000627601	0.000627601	0.000627601	
0.049	0.313953	-0.157826	-0.312724	-0.000471779	0.000471779	0.000471779	0.000471779	
0.0495	0.157054	-0.158363	-0.313497	-0.000315417	0.000315417	0.000315417	0.000315417	
0.05	-1.04899e-14	-0.158668	-0.31396	-0.000158668	0.000158668	0.000158668	0.000158668	
