Time	V(N001)	V(N002)	I(V1)	I(R1)	I(C1)	
0.077	-4.96057	0.0649543	0.00502553	0.00502553	0.00502553	
0.078	-4.91144	0.0599288	0.00497137	0.00497137	0.00497137	
0.079	-4.84292	0.0549574	0.00489787	0.00489787	0.00489787	
0.08	-4.75528	0.0500595	0.00480534	0.00480534	0.00480534	
0.081	-4.64888	0.0452542	0.00469414	0.00469414	0.00469414	
0.082	-4.52414	0.0405601	0.0045647	0.0045647	0.0045647	
0.083	-4.38153	0.0359954	0.00441753	0.00441753	0.00441753	
0.084	-4.22164	0.0315778	0.00425322	0.00425322	0.00425322	
0.085	-4.04508	0.0273246	0.00407241	0.00407241	0.00407241	
0.086	-3.85257	0.0232522	0.00387582	0.00387582	0.00387582	
0.087	-3.64484	0.0193764	0.00366422	0.00366422	0.00366422	
0.088	-3.42274	0.0157122	0.00343845	0.00343845	0.00343845	
0.089	-3.18712	0.0122737	0.00319939	0.00319939	0.00319939	
0.09	-2.93893	0.00907434	0.002948	0.002948	0.002948	
0.091	-2.67913	0.00612634	0.00268526	0.00268526	0.00268526	
0.092	-2.40877	0.00344108	0.00241221	0.00241221	0.00241221	
0.093	-2.1289	0.00102887	0.00212993	0.00212993	0.00212993	
0.094	-1.84062	-0.00110106	0.00183952	0.00183952	0.00183952	
0.095	-1.54508	-0.00294058	0.00154214	0.00154214	0.00154214	
0.096	-1.24345	-0.00448272	0.00123897	0.00123897	0.00123897	
0.097	-0.936907	-0.00572169	0.000931185	0.000931185	0.000931185	
0.098	-0.626666	-0.00665287	0.000620013	0.000620013	0.000620013	
0.099	-0.313953	-0.00727289	0.00030668	0.00030668	0.00030668	
0.1	2.09798e-14	-0.00757957	-7.57957e-06	-7.57957e-06	-7.57957e-06	
0.101	0.313953	-0.00757199	-0.000321525	-0.000321525	-0.000321525	
0.102	0.626666	-0.00725046	-0.000633917	-0.000633917	-0.000633917	
0.103	0.936907	-0.00661655	-0.000943523	-0.000943523	-0.000943523	
0.104	1.24345	-0.00567302	-0.00124912	-0.00124912	-0.00124912	
0.105	1.54508	-0.0044239	-0.00154951	-0.00154951	-0.00154951	
0.106	1.84062	-0.00287439	-0.0018435	-0.0018435	-0.0018435	
0.107	2.1289	-0.00103089	-0.00212993	-0.00212993	-0.00212993	
0.108	2.40877	0.00109903	-0.00240767	-0.00240767	-0.00240767	
0.109	2.67913	0.0035067	-0.00267563	-0.00267563	-0.00267563	
0.11	2.93893	0.00618233	-0.00293274	-0.00293274	-0.00293274	
0.111	3.18712	0.00911507	-0.003178	-0.003178	-0.003178	
0.112	3.42274	0.0122931	-0.00341044	-0.00341044	-0.00341044	
0.113	3.64484	0.0157035	-0.00362914	-0.00362914	-0.00362914	
0.114	3.85257	0.0193327	-0.00383323	-0.00383323	-0.00383323	
0.115	4.04508	0.0231659	-0.00402192	-0.00402192	-0.00402192	
0.116	4.22164	0.0271878	-0.00419445	-0.00419445	-0.00419445	
0.117	4.38153	0.0313823	-0.00435015	-0.00435015	-0.00435015	
0.118	4.52414	0.0357324	-0.0044884	-0.0044884	-0.0044884	
