Time	V(N001)	V(N002)	I(V1)	I(R1)	I(C1)	
1.051	-0.313953	0.107347	0.0004213	0.0004213	0.0004213	
1.052	-0.626666	0.106926	0.000733592	0.000733592	0.000733592	
1.053	-0.936907	0.106193	0.0010431	0.0010431	0.0010431	
1.054	-1.24345	0.105149	0.0013486	0.0013486	0.0013486	
1.055	-1.54508	0.103801	0.00164889	0.00164889	0.00164889	
1.056	-1.84062	0.102152	0.00194277	0.00194277	0.00194277	
1.057	-2.1289	0.100209	0.00222911	0.00222911	0.00222911	
1.058	-2.40877	0.0979801	0.00250675	0.00250675	0.00250675	
1.059	-2.67913	0.0954733	0.00277461	0.00277461	0.00277461	
1.06	-2.93893	0.0926987	0.00303162	0.00303162	0.00303162	
1.061	-3.18712	0.0896671	0.00327679	0.00327679	0.00327679	
1.062	-3.42274	0.0863903	0.00350913	0.00350913	0.00350913	
1.063	-3.64484	0.0828812	0.00372772	0.00372772	0.00372772	
1.064	-3.85257	0.0791535	0.00393172	0.00393172	0.00393172	
1.065	-4.04508	0.0752217	0.00412031	0.00412031	0.00412031	
1.066	-4.22164	0.0711014	0.00429274	0.00429274	0.00429274	
1.067	-4.38153	0.0668087	0.00444834	0.00444834	0.00444834	
1.068	-4.52414	0.0623604	0.0045865	0.0045865	0.0045865	
1.069	-4.64888	0.0577739	0.00470666	0.00470666	0.00470666	
1.07	-4.75528	0.0530672	0.00480835	0.00480835	0.00480835	
1.071	-4.84292	0.0482589	0.00489117	0.00489117	0.00489117	
1.072	-4.91144	0.0433677	0.0049548	0.0049548	0.0049548	
1.073	-4.96057	0.0384129	0.00499899	0.00499899	0.00499899	
1.074	-4.99013	0.0334139	0.00502355	0.00502355	0.00502355	
1.075	-5	0.0283903	0.00502839	0.00502839	0.00502839	
1.076	-4.99013	0.023362	0.0050135	0.0050135	0.0050135	
1.077	-4.96057	0.0183485	0.00497892	0.00497892	0.00497892	
1.078	-4.91144	0.0133695	0.00492481	0.00492481	0.00492481	
1.079	-4.84292	0.00844473	0.00485136	0.00485136	0.00485136	
1.08	-4.75528	0.00359337	0.00475888	0.00475888	0.00475888	
1.081	-4.64888	-0.00116551	0.00464772	0.00464772	0.00464772	
1.082	-4.52414	-0.00581322	0.00451832	0.00451832	0.00451832	
1.083	-4.38153	-0.0103315	0.0043712	0.0043712	0.0043712	
1.084	-4.22164	-0.0147027	0.00420694	0.00420694	0.00420694	
1.085	-4.04508	-0.0189097	0.00402618	0.00402618	0.00402618	
1.086	-3.85257	-0.0229359	0.00382963	0.00382963	0.00382963	
1.087	-3.64484	-0.0267655	0.00361808	0.00361808	0.00361808	
1.088	-3.42274	-0.0303836	0.00339235	0.00339235	0.00339235	
1.089	-3.18712	-0.0337759	0.00315334	0.00315334	0.00315334	
1.09	-2.93893	-0.0369293	0.002902	0.002902	0.002902	
1.091	-2.67913	-0.0398313	0.0026393	0.0026393	0.0026393	
1.092	-2.40877	-0.0424706	0.0023663	0.0023663	0.0023663	
1.093	-2.1289	-0.0448369	0.00208406	0.00208406	0.00208406	
1.094	-1.84062	-0.0469209	0.0017937	0.0017937	0.0017937	
1.095	-1.54508	-0.0487146	0.00149637	0.00149637	0.00149637	
1.096	-1.24345	-0.050211	0.00119324	0.00119324	0.00119324	
1.097	-0.936907	-0.0514042	0.000885502	0.000885502	0.000885502	
1.098	-0.626666	-0.0522897	0.000574376	0.000574376	0.000574376	
1.099	-0.313953	-0.0528641	0.000261088	0.000261088	0.000261088	
1.1	-3.24644e-12	-0.0531252	-5.31252e-05	-5.31252e-05	-5.31252e-05	
1.101	0.313953	-0.0530721	-0.000367025	-0.000367025	-0.000367025	
1.102	0.626666	-0.052705	-0.000679371	-0.000679371	-0.000679371	
1.103	0.936907	-0.0520257	-0.000988932	-0.000988932	-0.000988932	
1.104	1.24345	-0.0510367	-0.00129449	-0.00129449	-0.00129449	
1.105	1.54508	-0.0497423	-0.00159483	-0.00159483	-0.00159483	
1.106	1.84062	-0.0481474	-0.00188877	-0.00188877	-0.00188877	
1.107	2.1289	-0.0462587	-0.00217516	-0.00217516	-0.00217516	
1.108	2.40877	-0.0440835	-0.00245285	-0.00245285	-0.00245285	
1.109	2.67913	-0.0416307	-0.00272076	-0.00272076	-0.00272076	
1.11	2.93893	-0.0389099	-0.00297784	-0.00297784	-0.00297784	
1.111	3.18712	-0.0359321	-0.00322305	-0.00322305	-0.00322305	
1.112	3.42274	-0.032709	-0.00345544	-0.00345544	-0.00345544	
1.113	3.64484	-0.0292536	-0.0036741	-0.0036741	-0.0036741	
1.114	3.85257	-0.0255795	-0.00387815	-0.00387815	-0.00387815	
1.115	4.04508	-0.0217013	-0.00406679	-0.00406679	-0.00406679	
1.116	4.22164	-0.0176345	-0.00423927	-0.00423927	-0.00423927	
1.117	4.38153	-0.0133953	-0.00439493	-0.00439493	-0.00439493	
1.118	4.52414	-0.00900033	-0.00453314	-0.00453314	-0.00453314	
1.119	4.64888	-0.00446719	-0.00465335	-0.00465335	-0.00465335	
1.12	4.75528	0.000186158	-0.0047551	-0.0047551	-0.0047551	
1.121	4.84292	0.00494125	-0.00483797	-0.00483797	-0.00483797	
1.122	4.91144	0.00977923	-0.00490166	-0.00490166	-0.00490166	
1.123	4.96057	0.0146809	-0.00494589	-0.00494589	-0.00494589	
1.124	4.99013	0.0196268	-0.00497051	-0.00497051	-0.00497051	
1.125	5	0.0245973	-0.0049754	-0.0049754	-0.0049754	
1.126	4.99013	0.0295727	-0.00496056	-0.00496056	-0.00496056	
1.127	4.96057	0.0345332	-0.00492604	-0.00492604	-0.00492604	
1.128	4.91144	0.0394593	-0.00487198	-0.00487198	-0.00487198	
1.129	4.84292	0.0443313	-0.00479858	-0.00479858	-0.00479858	
1.13	4.75528	0.0491299	-0.00470615	-0.00470615	-0.00470615	
1.131	4.64888	0.053836	-0.00459505	-0.00459505	-0.00459505	
1.132	4.52414	0.0584311	-0.0044657	-0.0044657	-0.0044657	
1.133	4.38153	0.0628968	-0.00431864	-0.00431864	-0.00431864	
1.134	4.22164	0.0672154	-0.00415442	-0.00415442	-0.00415442	
1.135	4.04508	0.0713698	-0.00397372	-0.00397372	-0.00397372	
1.136	3.85257	0.0753435	-0.00377722	-0.00377722	-0.00377722	
1.137	3.64484	0.0791208	-0.00356572	-0.00356572	-0.00356572	
1.138	3.42274	0.0826865	-0.00334005	-0.00334005	-0.00334005	
1.139	3.18712	0.0860265	-0.00310109	-0.00310109	-0.00310109	
1.14	2.93893	0.0891276	-0.0028498	-0.0028498	-0.0028498	
1.141	2.67913	0.0919774	-0.00258716	-0.00258716	-0.00258716	
1.142	2.40877	0.0945646	-0.0023142	-0.0023142	-0.0023142	
1.143	2.1289	0.0968788	-0.00203202	-0.00203202	-0.00203202	
1.144	1.84062	0.0989108	-0.00174171	-0.00174171	-0.00174171	
1.145	1.54508	0.100653	-0.00144443	-0.00144443	-0.00144443	
1.146	1.24345	0.102097	-0.00114135	-0.00114135	-0.00114135	
1.147	0.936907	0.103238	-0.000833668	-0.000833668	-0.000833668	
1.148	0.626666	0.104072	-0.000522594	-0.000522594	-0.000522594	
1.149	0.313953	0.104595	-0.000209358	-0.000209358	-0.000209358	
1.15	5.00565e-12	0.104804	0.000104804	0.000104804	0.000104804	
1.151	-0.313953	0.104699	0.000418652	0.000418652	0.000418652	
1.152	-0.626666	0.10428	0.000730947	0.000730947	0.000730947	
1.153	-0.936907	0.10355	0.00104046	0.00104046	0.00104046	
1.154	-1.24345	0.102509	0.00134596	0.00134596	0.00134596	
1.155	-1.54508	0.101163	0.00164625	0.00164625	0.00164625	
1.156	-1.84062	0.0995168	0.00194014	0.00194014	0.00194014	
1.157	-2.1289	0.0975767	0.00222647	0.00222647	0.00222647	
1.158	-2.40877	0.0953502	0.00250412	0.00250412	0.00250412	
1.159	-2.67913	0.0928461	0.00277198	0.00277198	0.00277198	
1.16	-2.93893	0.0900741	0.003029	0.003029	0.003029	
1.161	-3.18712	0.0870451	0.00327417	0.00327417	0.00327417	
1.162	-3.42274	0.083771	0.00350651	0.00350651	0.00350651	
1.163	-3.64484	0.0802645	0.00372511	0.00372511	0.00372511	
1.164	-3.85257	0.0765394	0.00392911	0.00392911	0.00392911	
1.165	-4.04508	0.0726103	0.0041177	0.0041177	0.0041177	
1.166	-4.22164	0.0684926	0.00429013	0.00429013	0.00429013	
1.167	-4.38153	0.0642024	0.00444574	0.00444574	0.00444574	
1.168	-4.52414	0.0597567	0.00458389	0.00458389	0.00458389	
1.169	-4.64888	0.0551728	0.00470406	0.00470406	0.00470406	
1.17	-4.75528	0.0504687	0.00480575	0.00480575	0.00480575	
1.171	-4.84292	0.045663	0.00488858	0.00488858	0.00488858	
1.172	-4.91144	0.0407744	0.00495221	0.00495221	0.00495221	
1.173	-4.96057	0.0358222	0.0049964	0.0049964	0.0049964	
1.174	-4.99013	0.0308258	0.00502096	0.00502096	0.00502096	
1.175	-5	0.0258048	0.0050258	0.0050258	0.0050258	
1.176	-4.99013	0.020779	0.00501091	0.00501091	0.00501091	
1.177	-4.96057	0.0157681	0.00497634	0.00497634	0.00497634	
1.178	-4.91144	0.0107918	0.00492223	0.00492223	0.00492223	
1.179	-4.84292	0.00586956	0.00484879	0.00484879	0.00484879	
1.18	-4.75528	0.00102077	0.0047563	0.0047563	0.0047563	
1.181	-4.64888	-0.00373553	0.00464515	0.00464515	0.00464515	
1.182	-4.52414	-0.00838068	0.00451575	0.00451575	0.00451575	
1.183	-4.38153	-0.0128964	0.00436864	0.00436864	0.00436864	
1.184	-4.22164	-0.0172651	0.00420437	0.00420437	0.00420437	
1.185	-4.04508	-0.0214694	0.00402362	0.00402362	0.00402362	
1.186	-3.85257	-0.0254931	0.00382707	0.00382707	0.00382707	
1.187	-3.64484	-0.0293201	0.00361552	0.00361552	0.00361552	
1.188	-3.42274	-0.0329357	0.0033898	0.0033898	0.0033898	
1.189	-3.18712	-0.0363255	0.00315079	0.00315079	0.00315079	
1.19	-2.93893	-0.0394763	0.00289945	0.00289945	0.00289945	
1.191	-2.67913	-0.0423757	0.00263676	0.00263676	0.00263676	
1.192	-2.40877	-0.0450125	0.00236376	0.00236376	0.00236376	
1.193	-2.1289	-0.0473762	0.00208152	0.00208152	0.00208152	
1.194	-1.84062	-0.0494577	0.00179117	0.00179117	0.00179117	
1.195	-1.54508	-0.0512489	0.00149384	0.00149384	0.00149384	
1.196	-1.24345	-0.0527427	0.00119071	0.00119071	0.00119071	
1.197	-0.936907	-0.0539334	0.000882973	0.000882973	0.000882973	
1.198	-0.626666	-0.0548164	0.00057185	0.00057185	0.00057185	
1.199	-0.313953	-0.0553883	0.000258564	0.000258564	0.000258564	
1.2	-6.6938e-12	-0.0556468	-5.56468e-05	-5.56468e-05	-5.56468e-05	
1.201	0.313953	-0.0555912	-0.000369544	-0.000369544	-0.000369544	
1.202	0.626666	-0.0552216	-0.000681888	-0.000681888	-0.000681888	
1.203	0.936907	-0.0545398	-0.000991446	-0.000991446	-0.000991446	
1.204	1.24345	-0.0535483	-0.001297	-0.001297	-0.001297	
1.205	1.54508	-0.0522513	-0.00159734	-0.00159734	-0.00159734	
1.206	1.84062	-0.050654	-0.00189128	-0.00189128	-0.00189128	
1.207	2.1289	-0.0487627	-0.00217766	-0.00217766	-0.00217766	
1.208	2.40877	-0.046585	-0.00245535	-0.00245535	-0.00245535	
1.209	2.67913	-0.0441297	-0.00272326	-0.00272326	-0.00272326	
1.21	2.93893	-0.0414064	-0.00298033	-0.00298033	-0.00298033	
1.211	3.18712	-0.0384261	-0.00322555	-0.00322555	-0.00322555	
1.212	3.42274	-0.0352005	-0.00345794	-0.00345794	-0.00345794	
1.213	3.64484	-0.0317426	-0.00367659	-0.00367659	-0.00367659	
1.214	3.85257	-0.028066	-0.00388063	-0.00388063	-0.00388063	
1.215	4.04508	-0.0241854	-0.00406927	-0.00406927	-0.00406927	
1.216	4.22164	-0.0201161	-0.00424176	-0.00424176	-0.00424176	
1.217	4.38153	-0.0158744	-0.00439741	-0.00439741	-0.00439741	
1.218	4.52414	-0.011477	-0.00453561	-0.00453561	-0.00453561	
1.219	4.64888	-0.00694134	-0.00465582	-0.00465582	-0.00465582	
1.22	4.75528	-0.00228552	-0.00475757	-0.00475757	-0.00475757	
1.221	4.84292	0.00247205	-0.00484044	-0.00484044	-0.00484044	
1.222	4.91144	0.0073125	-0.00490412	-0.00490412	-0.00490412	
1.223	4.96057	0.0122166	-0.00494836	-0.00494836	-0.00494836	
1.224	4.99013	0.017165	-0.00497297	-0.00497297	-0.00497297	
1.225	5	0.0221379	-0.00497786	-0.00497786	-0.00497786	
1.226	4.99013	0.0271158	-0.00496302	-0.00496302	-0.00496302	
1.227	4.96057	0.0320788	-0.00492849	-0.00492849	-0.00492849	
1.228	4.91144	0.0370073	-0.00487443	-0.00487443	-0.00487443	
1.229	4.84292	0.0418817	-0.00480103	-0.00480103	-0.00480103	
1.23	4.75528	0.0466828	-0.0047086	-0.0047086	-0.0047086	
1.231	4.64888	0.0513914	-0.00459749	-0.00459749	-0.00459749	
1.232	4.52414	0.0559889	-0.00446815	-0.00446815	-0.00446815	
1.233	4.38153	0.060457	-0.00432108	-0.00432108	-0.00432108	
1.234	4.22164	0.0647781	-0.00415686	-0.00415686	-0.00415686	
1.235	4.04508	0.068935	-0.00397615	-0.00397615	-0.00397615	
1.236	3.85257	0.0729111	-0.00377966	-0.00377966	-0.00377966	
1.237	3.64484	0.0766908	-0.00356815	-0.00356815	-0.00356815	
1.238	3.42274	0.0802589	-0.00334248	-0.00334248	-0.00334248	
1.239	3.18712	0.0836014	-0.00310352	-0.00310352	-0.00310352	
1.24	2.93893	0.0867049	-0.00285222	-0.00285222	-0.00285222	
1.241	2.67913	0.0895571	-0.00258958	-0.00258958	-0.00258958	
1.242	2.40877	0.0921467	-0.00231662	-0.00231662	-0.00231662	
1.243	2.1289	0.0944633	-0.00203443	-0.00203443	-0.00203443	
1.244	1.84062	0.0964978	-0.00174412	-0.00174412	-0.00174412	
1.245	1.54508	0.0982419	-0.00144684	-0.00144684	-0.00144684	
1.246	1.24345	0.0996887	-0.00114376	-0.00114376	-0.00114376	
1.247	0.936907	0.100832	-0.000836074	-0.000836074	-0.000836074	
1.248	0.626666	0.101669	-0.000524998	-0.000524998	-0.000524998	
1.249	0.313953	0.102194	-0.000211759	-0.000211759	-0.000211759	
1.25	8.453e-12	0.102405	0.000102405	0.000102405	0.000102405	
1.251	-0.313953	0.102303	0.000416256	0.000416256	0.000416256	
1.252	-0.626666	0.101887	0.000728553	0.000728553	0.000728553	
1.253	-0.936907	0.101158	0.00103806	0.00103806	0.00103806	
1.254	-1.24345	0.10012	0.00134357	0.00134357	0.00134357	
1.255	-1.54508	0.0987765	0.00164386	0.00164386	0.00164386	
1.256	-1.84062	0.0971326	0.00193776	0.00193776	0.00193776	
1.257	-2.1289	0.0951949	0.00222409	0.00222409	0.00222409	
1.258	-2.40877	0.0929708	0.00250174	0.00250174	0.00250174	
1.259	-2.67913	0.090469	0.0027696	0.0027696	0.0027696	
1.26	-2.93893	0.0876994	0.00302663	0.00302663	0.00302663	
1.261	-3.18712	0.0846728	0.00327179	0.00327179	0.00327179	
1.262	-3.42274	0.081401	0.00350414	0.00350414	0.00350414	
1.263	-3.64484	0.0778969	0.00372274	0.00372274	0.00372274	
1.264	-3.85257	0.0741741	0.00392674	0.00392674	0.00392674	
1.265	-4.04508	0.0702474	0.00411533	0.00411533	0.00411533	
1.266	-4.22164	0.0661321	0.00428777	0.00428777	0.00428777	
1.267	-4.38153	0.0618443	0.00444338	0.00444338	0.00444338	
1.268	-4.52414	0.0574009	0.00458154	0.00458154	0.00458154	
1.269	-4.64888	0.0528194	0.0047017	0.0047017	0.0047017	
1.27	-4.75528	0.0481177	0.0048034	0.0048034	0.0048034	
1.271	-4.84292	0.0433143	0.00488623	0.00488623	0.00488623	
1.272	-4.91144	0.038428	0.00494986	0.00494986	0.00494986	
1.273	-4.96057	0.0334782	0.00499405	0.00499405	0.00499405	
1.274	-4.99013	0.0284841	0.00501862	0.00501862	0.00501862	
1.275	-5	0.0234655	0.00502347	0.00502347	0.00502347	
1.276	-4.99013	0.018442	0.00500858	0.00500858	0.00500858	
1.277	-4.96057	0.0134335	0.00497401	0.00497401	0.00497401	
1.278	-4.91144	0.00845946	0.0049199	0.0049199	0.0049199	
1.279	-4.84292	0.00353956	0.00484646	0.00484646	0.00484646	
1.28	-4.75528	-0.00130689	0.00475398	0.00475398	0.00475398	
1.281	-4.64888	-0.00606087	0.00464282	0.00464282	0.00464282	
1.282	-4.52414	-0.0107037	0.00451343	0.00451343	0.00451343	
1.283	-4.38153	-0.0152171	0.00436632	0.00436632	0.00436632	
1.284	-4.22164	-0.0195834	0.00420206	0.00420206	0.00420206	
1.285	-4.04508	-0.0237855	0.0040213	0.0040213	0.0040213	
1.286	-3.85257	-0.0278068	0.00382476	0.00382476	0.00382476	
1.287	-3.64484	-0.0316316	0.00361321	0.00361321	0.00361321	
1.288	-3.42274	-0.0352448	0.00338749	0.00338749	0.00338749	
1.289	-3.18712	-0.0386323	0.00314849	0.00314849	0.00314849	
1.29	-2.93893	-0.0417807	0.00289715	0.00289715	0.00289715	
1.291	-2.67913	-0.0446779	0.00263446	0.00263446	0.00263446	
1.292	-2.40877	-0.0473123	0.00236146	0.00236146	0.00236146	
1.293	-2.1289	-0.0496738	0.00207922	0.00207922	0.00207922	
1.294	-1.84062	-0.051753	0.00178887	0.00178887	0.00178887	
1.295	-1.54508	-0.0535419	0.00149154	0.00149154	0.00149154	
1.296	-1.24345	-0.0550334	0.00118842	0.00118842	0.00118842	
1.297	-0.936907	-0.0562219	0.000880685	0.000880685	0.000880685	
1.298	-0.626666	-0.0571025	0.000569564	0.000569564	0.000569564	
1.299	-0.313953	-0.0576721	0.00025628	0.00025628	0.00025628	
1.3	-1.02122e-11	-0.0579284	-5.79284e-05	-5.79284e-05	-5.79284e-05	
1.301	0.313953	-0.0578705	-0.000371823	-0.000371823	-0.000371823	
1.302	0.626666	-0.0574986	-0.000684165	-0.000684165	-0.000684165	
1.303	0.936907	-0.0568145	-0.000993721	-0.000993721	-0.000993721	
1.304	1.24345	-0.0558207	-0.00129927	-0.00129927	-0.00129927	
1.305	1.54508	-0.0545215	-0.00159961	-0.00159961	-0.00159961	
1.306	1.84062	-0.0529219	-0.00189354	-0.00189354	-0.00189354	
1.307	2.1289	-0.0510283	-0.00217992	-0.00217992	-0.00217992	
1.308	2.40877	-0.0488484	-0.00245762	-0.00245762	-0.00245762	
1.309	2.67913	-0.0463908	-0.00272552	-0.00272552	-0.00272552	
1.31	2.93893	-0.0436653	-0.00298259	-0.00298259	-0.00298259	
1.311	3.18712	-0.0406827	-0.0032278	-0.0032278	-0.0032278	
1.312	3.42274	-0.0374549	-0.00346019	-0.00346019	-0.00346019	
1.313	3.64484	-0.0339947	-0.00367884	-0.00367884	-0.00367884	
1.314	3.85257	-0.0303158	-0.00388288	-0.00388288	-0.00388288	
1.315	4.04508	-0.026433	-0.00407152	-0.00407152	-0.00407152	
1.316	4.22164	-0.0223614	-0.004244	-0.004244	-0.004244	
1.317	4.38153	-0.0181174	-0.00439965	-0.00439965	-0.00439965	
1.318	4.52414	-0.0137178	-0.00453785	-0.00453785	-0.00453785	
1.319	4.64888	-0.00917993	-0.00465806	-0.00465806	-0.00465806	
1.32	4.75528	-0.00452187	-0.0047598	-0.0047598	-0.0047598	
1.321	4.84292	0.000237938	-0.00484268	-0.00484268	-0.00484268	
1.322	4.91144	0.00508062	-0.00490636	-0.00490636	-0.00490636	
1.323	4.96057	0.00998697	-0.00495059	-0.00495059	-0.00495059	
1.324	4.99013	0.0149376	-0.0049752	-0.0049752	-0.0049752	
1.325	5	0.0199128	-0.00498009	-0.00498009	-0.00498009	
1.326	4.99013	0.0248928	-0.00496524	-0.00496524	-0.00496524	
1.327	4.96057	0.0298581	-0.00493072	-0.00493072	-0.00493072	
1.328	4.91144	0.0347888	-0.00487665	-0.00487665	-0.00487665	
1.329	4.84292	0.0396654	-0.00480325	-0.00480325	-0.00480325	
1.33	4.75528	0.0444687	-0.00471081	-0.00471081	-0.00471081	
1.331	4.64888	0.0491795	-0.0045997	-0.0045997	-0.0045997	
1.332	4.52414	0.0537792	-0.00447036	-0.00447036	-0.00447036	
1.333	4.38153	0.0582496	-0.00432328	-0.00432328	-0.00432328	
1.334	4.22164	0.0625729	-0.00415907	-0.00415907	-0.00415907	
1.335	4.04508	0.0667319	-0.00397835	-0.00397835	-0.00397835	
1.336	3.85257	0.0707103	-0.00378186	-0.00378186	-0.00378186	
1.337	3.64484	0.0744921	-0.00357035	-0.00357035	-0.00357035	
1.338	3.42274	0.0780625	-0.00334467	-0.00334467	-0.00334467	
1.339	3.18712	0.0814072	-0.00310571	-0.00310571	-0.00310571	
1.34	2.93893	0.0845129	-0.00285441	-0.00285441	-0.00285441	
1.341	2.67913	0.0873673	-0.00259177	-0.00259177	-0.00259177	
1.342	2.40877	0.089959	-0.00231881	-0.00231881	-0.00231881	
1.343	2.1289	0.0922779	-0.00203662	-0.00203662	-0.00203662	
1.344	1.84062	0.0943145	-0.00174631	-0.00174631	-0.00174631	
1.345	1.54508	0.0960608	-0.00144902	-0.00144902	-0.00144902	
1.346	1.24345	0.0975098	-0.00114594	-0.00114594	-0.00114594	
1.347	0.936907	0.0986557	-0.000838251	-0.000838251	-0.000838251	
1.348	0.626666	0.099494	-0.000527172	-0.000527172	-0.000527172	
1.349	0.313953	0.100021	-0.000213931	-0.000213931	-0.000213931	
1.35	1.19004e-11	0.100235	0.000100235	0.000100235	0.000100235	
1.351	-0.313953	0.100135	0.000414087	0.000414087	0.000414087	
1.352	-0.626666	0.0997208	0.000726387	0.000726387	0.000726387	
1.353	-0.936907	0.0989944	0.0010359	0.0010359	0.0010359	
1.354	-1.24345	0.0979585	0.00134141	0.00134141	0.00134141	
1.355	-1.54508	0.0966171	0.0016417	0.0016417	0.0016417	
1.356	-1.84062	0.0949754	0.0019356	0.0019356	0.0019356	
1.357	-2.1289	0.0930398	0.00222194	0.00222194	0.00222194	
1.358	-2.40877	0.0908178	0.00249959	0.00249959	0.00249959	
1.359	-2.67913	0.0883183	0.00276745	0.00276745	0.00276745	
1.36	-2.93893	0.0855508	0.00302448	0.00302448	0.00302448	
1.361	-3.18712	0.0825263	0.00326965	0.00326965	0.00326965	
1.362	-3.42274	0.0792567	0.00350199	0.00350199	0.00350199	
1.363	-3.64484	0.0757547	0.0037206	0.0037206	0.0037206	
1.364	-3.85257	0.0720341	0.0039246	0.0039246	0.0039246	
1.365	-4.04508	0.0681095	0.00411319	0.00411319	0.00411319	
1.366	-4.22164	0.0639963	0.00428564	0.00428564	0.00428564	
1.367	-4.38153	0.0597107	0.00444124	0.00444124	0.00444124	
1.368	-4.52414	0.0552694	0.0045794	0.0045794	0.0045794	
1.369	-4.64888	0.05069	0.00469957	0.00469957	0.00469957	
1.37	-4.75528	0.0459904	0.00480127	0.00480127	0.00480127	
1.371	-4.84292	0.0411892	0.0048841	0.0048841	0.0048841	
1.372	-4.91144	0.0363051	0.00494774	0.00494774	0.00494774	
1.373	-4.96057	0.0313573	0.00499193	0.00499193	0.00499193	
1.374	-4.99013	0.0263654	0.0050165	0.0050165	0.0050165	
1.375	-5	0.0213489	0.00502135	0.00502135	0.00502135	
1.376	-4.99013	0.0163275	0.00500646	0.00500646	0.00500646	
1.377	-4.96057	0.0113211	0.00497189	0.00497189	0.00497189	
1.378	-4.91144	0.00634919	0.00491779	0.00491779	0.00491779	
1.379	-4.84292	0.0014314	0.00484435	0.00484435	0.00484435	
1.38	-4.75528	-0.00341295	0.00475187	0.00475187	0.00475187	
1.381	-4.64888	-0.00816482	0.00464072	0.00464072	0.00464072	
1.382	-4.52414	-0.0128055	0.00451133	0.00451133	0.00451133	
1.383	-4.38153	-0.0173169	0.00436422	0.00436422	0.00436422	
1.384	-4.22164	-0.0216811	0.00419996	0.00419996	0.00419996	
1.385	-4.04508	-0.025881	0.0040192	0.0040192	0.0040192	
1.386	-3.85257	-0.0299002	0.00382267	0.00382267	0.00382267	
1.387	-3.64484	-0.0337229	0.00361112	0.00361112	0.00361112	
1.388	-3.42274	-0.037334	0.0033854	0.0033854	0.0033854	
1.389	-3.18712	-0.0407194	0.0031464	0.0031464	0.0031464	
1.39	-2.93893	-0.0438658	0.00289506	0.00289506	0.00289506	
1.391	-2.67913	-0.0467609	0.00263237	0.00263237	0.00263237	
1.392	-2.40877	-0.0493933	0.00235938	0.00235938	0.00235938	
1.393	-2.1289	-0.0517526	0.00207714	0.00207714	0.00207714	
1.394	-1.84062	-0.0538298	0.00178679	0.00178679	0.00178679	
1.395	-1.54508	-0.0556166	0.00148947	0.00148947	0.00148947	
1.396	-1.24345	-0.057106	0.00118634	0.00118634	0.00118634	
1.397	-0.936907	-0.0582924	0.000878614	0.000878614	0.000878614	
1.398	-0.626666	-0.059171	0.000567495	0.000567495	0.000567495	
1.399	-0.313953	-0.0597385	0.000254214	0.000254214	0.000254214	
1.4	-1.36596e-11	-0.0599927	-5.99927e-05	-5.99927e-05	-5.99927e-05	
1.401	0.313953	-0.0599327	-0.000373885	-0.000373885	-0.000373885	
1.402	0.626666	-0.0595588	-0.000686225	-0.000686225	-0.000686225	
1.403	0.936907	-0.0588726	-0.000995779	-0.000995779	-0.000995779	
1.404	1.24345	-0.0578768	-0.00130133	-0.00130133	-0.00130133	
1.405	1.54508	-0.0565755	-0.00160166	-0.00160166	-0.00160166	
1.406	1.84062	-0.0549738	-0.0018956	-0.0018956	-0.0018956	
1.407	2.1289	-0.0530782	-0.00218197	-0.00218197	-0.00218197	
1.408	2.40877	-0.0508963	-0.00245966	-0.00245966	-0.00245966	
1.409	2.67913	-0.0484366	-0.00272757	-0.00272757	-0.00272757	
1.41	2.93893	-0.045709	-0.00298464	-0.00298464	-0.00298464	
1.411	3.18712	-0.0427244	-0.00322984	-0.00322984	-0.00322984	
1.412	3.42274	-0.0394946	-0.00346223	-0.00346223	-0.00346223	
1.413	3.64484	-0.0360323	-0.00368088	-0.00368088	-0.00368088	
1.414	3.85257	-0.0323515	-0.00388492	-0.00388492	-0.00388492	
1.415	4.04508	-0.0284665	-0.00407355	-0.00407355	-0.00407355	
1.416	4.22164	-0.024393	-0.00424603	-0.00424603	-0.00424603	
1.417	4.38153	-0.0201469	-0.00440168	-0.00440168	-0.00440168	
1.418	4.52414	-0.0157453	-0.00453988	-0.00453988	-0.00453988	
1.419	4.64888	-0.0112054	-0.00466009	-0.00466009	-0.00466009	
1.42	4.75528	-0.0065453	-0.00476183	-0.00476183	-0.00476183	
1.421	4.84292	-0.00178347	-0.0048447	-0.0048447	-0.0048447	
1.422	4.91144	0.00306123	-0.00490838	-0.00490838	-0.00490838	
1.423	4.96057	0.0079696	-0.0049526	-0.0049526	-0.0049526	
1.424	4.99013	0.0129222	-0.00497721	-0.00497721	-0.00497721	
1.425	5	0.0178994	-0.0049821	-0.0049821	-0.0049821	
1.426	4.99013	0.0228815	-0.00496725	-0.00496725	-0.00496725	
1.427	4.96057	0.0278488	-0.00493272	-0.00493272	-0.00493272	
1.428	4.91144	0.0327815	-0.00487865	-0.00487865	-0.00487865	
1.429	4.84292	0.0376601	-0.00480526	-0.00480526	-0.00480526	
1.43	4.75528	0.0424654	-0.00471282	-0.00471282	-0.00471282	
1.431	4.64888	0.0471782	-0.0046017	-0.0046017	-0.0046017	
1.432	4.52414	0.0517799	-0.00447236	-0.00447236	-0.00447236	
1.433	4.38153	0.0562523	-0.00432528	-0.00432528	-0.00432528	
1.434	4.22164	0.0605776	-0.00416106	-0.00416106	-0.00416106	
1.435	4.04508	0.0647386	-0.00398035	-0.00398035	-0.00398035	
