Time	V(N001)	V(N002)	V(N003)	I(V1)	I(R1)	I(C1)	I(C2)	
0.826	4.99013	0.0355325	0.0177663	-4.9546	-4.9546	-4.9546	-4.9546	
0.828	4.91144	0.0553509	0.0276755	-4.85609	-4.85609	-4.85609	-4.85609	
0.83	4.75528	0.0747753	0.0373876	-4.68051	-4.68051	-4.68051	-4.68051	
0.832	4.52414	0.0934973	0.0467486	-4.43064	-4.43064	-4.43064	-4.43064	
0.834	4.22164	0.11122	0.0556099	-4.11042	-4.11042	-4.11042	-4.11042	
0.836	3.85257	0.127662	0.0638308	-3.7249	-3.7249	-3.7249	-3.7249	
0.838	3.42274	0.142561	0.0712806	-3.28017	-3.28017	-3.28017	-3.28017	
0.84	2.93893	0.155682	0.0778409	-2.78324	-2.78324	-2.78324	-2.78324	
0.842	2.40877	0.166815	0.0834074	-2.24195	-2.24195	-2.24195	-2.24195	
0.844	1.84062	0.175783	0.0878913	-1.66484	-1.66484	-1.66484	-1.66484	
0.846	1.24345	0.182442	0.091221	-1.06101	-1.06101	-1.06101	-1.06101	
0.848	0.626666	0.186686	0.093343	-0.43998	-0.43998	-0.43998	-0.43998	
0.85	-1.8499e-13	0.188446	0.094223	0.188446	0.188446	0.188446	0.188446	
0.852	-0.626666	0.187692	0.0938461	0.814358	0.814358	0.814358	0.814358	
0.854	-1.24345	0.184435	0.0922174	1.42788	1.42788	1.42788	1.42788	
0.856	-1.84062	0.178723	0.0893616	2.01935	2.01935	2.01935	2.01935	
0.858	-2.40877	0.170646	0.0853229	2.57941	2.57941	2.57941	2.57941	
0.86	-2.93893	0.160328	0.0801641	3.09925	3.09925	3.09925	3.09925	
0.862	-3.42274	0.147931	0.0739656	3.57067	3.57067	3.57067	3.57067	
0.864	-3.85257	0.133648	0.0668242	3.98621	3.98621	3.98621	3.98621	
0.866	-4.22164	0.117704	0.0588518	4.33934	4.33934	4.33934	4.33934	
0.868	-4.52414	0.100346	0.0501731	4.62448	4.62448	4.62448	4.62448	
0.87	-4.75528	0.0818483	0.0409242	4.83713	4.83713	4.83713	4.83713	
0.872	-4.91144	0.0624998	0.0312499	4.97394	4.97394	4.97394	4.97394	
0.874	-4.99013	0.042604	0.021302	5.03274	5.03274	5.03274	5.03274	
0.876	-4.99013	0.0224731	0.0112365	5.01261	5.01261	5.01261	5.01261	
0.878	-4.91144	0.00242266	0.00121133	4.91386	4.91386	4.91386	4.91386	
0.88	-4.75528	-0.0172328	-0.00861639	4.73805	4.73805	4.73805	4.73805	
0.882	-4.52414	-0.036185	-0.0180925	4.48795	4.48795	4.48795	4.48795	
0.884	-4.22164	-0.0541368	-0.0270684	4.1675	4.1675	4.1675	4.1675	
0.886	-3.85257	-0.0708068	-0.0354034	3.78176	3.78176	3.78176	3.78176	
0.888	-3.42274	-0.0859338	-0.0429669	3.3368	3.3368	3.3368	3.3368	
0.89	-2.93893	-0.099281	-0.0496405	2.83965	2.83965	2.83965	2.83965	
0.892	-2.40877	-0.11064	-0.0553198	2.29813	2.29813	2.29813	2.29813	
0.894	-1.84062	-0.119832	-0.0599161	1.72079	1.72079	1.72079	1.72079	
0.896	-1.24345	-0.126715	-0.0633576	1.11673	1.11673	1.11673	1.11673	
0.898	-0.626666	-0.131182	-0.0655911	0.495484	0.495484	0.495484	0.495484	
0.9	2.02141e-13	-0.133164	-0.0665821	-0.133164	-0.133164	-0.133164	-0.133164	
0.902	0.626666	-0.132632	-0.0663158	-0.759298	-0.759298	-0.759298	-0.759298	
0.904	1.24345	-0.129594	-0.0647972	-1.37304	-1.37304	-1.37304	-1.37304	
0.906	1.84062	-0.124102	-0.0620511	-1.96472	-1.96472	-1.96472	-1.96472	
0.908	2.40877	-0.116243	-0.0581216	-2.52501	-2.52501	-2.52501	-2.52501	
0.91	2.93893	-0.106143	-0.0530716	-3.04507	-3.04507	-3.04507	-3.04507	
0.912	3.42274	-0.0939629	-0.0469815	-3.5167	-3.5167	-3.5167	-3.5167	
0.914	3.85257	-0.0798961	-0.0399481	-3.93246	-3.93246	-3.93246	-3.93246	
0.916	4.22164	-0.0641663	-0.0320831	-4.28581	-4.28581	-4.28581	-4.28581	
0.918	4.52414	-0.0470231	-0.0235115	-4.57116	-4.57116	-4.57116	-4.57116	
0.92	4.75528	-0.0287384	-0.0143692	-4.78402	-4.78402	-4.78402	-4.78402	
0.922	4.91144	-0.00960233	-0.00480117	-4.92104	-4.92104	-4.92104	-4.92104	
0.924	4.99013	0.0100818	0.00504091	-4.98005	-4.98005	-4.98005	-4.98005	
0.926	4.99013	0.030002	0.015001	-4.96013	-4.96013	-4.96013	-4.96013	
0.928	4.91144	0.0498426	0.0249213	-4.86159	-4.86159	-4.86159	-4.86159	
0.93	4.75528	0.0692889	0.0346445	-4.68599	-4.68599	-4.68599	-4.68599	
0.932	4.52414	0.0880329	0.0440165	-4.4361	-4.4361	-4.4361	-4.4361	
0.934	4.22164	0.105777	0.0528887	-4.11586	-4.11586	-4.11586	-4.11586	
0.936	3.85257	0.122241	0.0611204	-3.73033	-3.73033	-3.73033	-3.73033	
0.938	3.42274	0.137162	0.068581	-3.28557	-3.28557	-3.28557	-3.28557	
0.94	2.93893	0.150304	0.0751522	-2.78862	-2.78862	-2.78862	-2.78862	
0.942	2.40877	0.161459	0.0807294	-2.24731	-2.24731	-2.24731	-2.24731	
0.944	1.84062	0.170448	0.085224	-1.67017	-1.67017	-1.67017	-1.67017	
0.946	1.24345	0.177129	0.0885644	-1.06632	-1.06632	-1.06632	-1.06632	
0.948	0.626666	0.181394	0.090697	-0.445272	-0.445272	-0.445272	-0.445272	
0.95	-2.19292e-13	0.183175	0.0915876	0.183175	0.183175	0.183175	0.183175	
0.952	-0.626666	0.182442	0.0912212	0.809109	0.809109	0.809109	0.809109	
0.954	-1.24345	0.179206	0.089603	1.42266	1.42266	1.42266	1.42266	
0.956	-1.84062	0.173515	0.0867577	2.01414	2.01414	2.01414	2.01414	
0.958	-2.40877	0.165459	0.0827294	2.57423	2.57423	2.57423	2.57423	
0.96	-2.93893	0.155162	0.077581	3.09409	3.09409	3.09409	3.09409	
0.962	-3.42274	0.142786	0.0713928	3.56552	3.56552	3.56552	3.56552	
0.964	-3.85257	0.128523	0.0642617	3.98109	3.98109	3.98109	3.98109	
0.966	-4.22164	0.112599	0.0562996	4.33424	4.33424	4.33424	4.33424	
0.968	-4.52414	0.0952622	0.0476311	4.6194	4.6194	4.6194	4.6194	
0.97	-4.75528	0.0767846	0.0383923	4.83207	4.83207	4.83207	4.83207	
0.972	-4.91144	0.0574563	0.0287282	4.96889	4.96889	4.96889	4.96889	
0.974	-4.99013	0.0375808	0.0187904	5.02771	5.02771	5.02771	5.02771	
0.976	-4.99013	0.0174699	0.00873495	5.0076	5.0076	5.0076	5.0076	
0.978	-4.91144	-0.00256052	-0.00128026	4.90888	4.90888	4.90888	4.90888	
0.98	-4.75528	-0.022196	-0.011098	4.73309	4.73309	4.73309	4.73309	
0.982	-4.52414	-0.0411284	-0.0205642	4.48301	4.48301	4.48301	4.48301	
0.984	-4.22164	-0.0590604	-0.0295302	4.16258	4.16258	4.16258	4.16258	
0.986	-3.85257	-0.0757107	-0.0378554	3.77686	3.77686	3.77686	3.77686	
0.988	-3.42274	-0.0908181	-0.0454091	3.33192	3.33192	3.33192	3.33192	
0.99	-2.93893	-0.104146	-0.0520729	2.83478	2.83478	2.83478	2.83478	
0.992	-2.40877	-0.115485	-0.0577425	2.29328	2.29328	2.29328	2.29328	
0.994	-1.84062	-0.124658	-0.062329	1.71596	1.71596	1.71596	1.71596	
0.996	-1.24345	-0.131522	-0.065761	1.11193	1.11193	1.11193	1.11193	
0.998	-0.626666	-0.13597	-0.0679848	0.490697	0.490697	0.490697	0.490697	
1	2.00916e-13	-0.137932	-0.0689662	-0.137932	-0.137932	-0.137932	-0.137932	
1.002	0.626666	-0.137381	-0.0686903	-0.764047	-0.764047	-0.764047	-0.764047	
1.004	1.24345	-0.134324	-0.0671622	-1.37777	-1.37777	-1.37777	-1.37777	
1.006	1.84062	-0.128813	-0.0644067	-1.96944	-1.96944	-1.96944	-1.96944	
1.008	2.40877	-0.120936	-0.0604678	-2.5297	-2.5297	-2.5297	-2.5297	
1.01	2.93893	-0.110817	-0.0554084	-3.04974	-3.04974	-3.04974	-3.04974	
1.012	3.42274	-0.0986179	-0.0493089	-3.52135	-3.52135	-3.52135	-3.52135	
1.014	3.85257	-0.0845325	-0.0422662	-3.9371	-3.9371	-3.9371	-3.9371	
1.016	4.22164	-0.0687841	-0.034392	-4.29042	-4.29042	-4.29042	-4.29042	
1.018	4.52414	-0.0516224	-0.0258112	-4.57576	-4.57576	-4.57576	-4.57576	
1.02	4.75528	-0.0333193	-0.0166597	-4.7886	-4.7886	-4.7886	-4.7886	
1.022	4.91144	-0.0141649	-0.00708246	-4.9256	-4.9256	-4.9256	-4.9256	
1.024	4.99013	0.00553748	0.00276874	-4.9846	-4.9846	-4.9846	-4.9846	
1.026	4.99013	0.0254759	0.0127379	-4.96466	-4.96466	-4.96466	-4.96466	
1.028	4.91144	0.0453345	0.0226672	-4.8661	-4.8661	-4.8661	-4.8661	
1.03	4.75528	0.0647989	0.0323995	-4.69048	-4.69048	-4.69048	-4.69048	
1.032	4.52414	0.0835608	0.0417804	-4.44057	-4.44057	-4.44057	-4.44057	
1.034	4.22164	0.101323	0.0506616	-4.12032	-4.12032	-4.12032	-4.12032	
1.036	3.85257	0.117804	0.0589022	-3.73476	-3.73476	-3.73476	-3.73476	
1.038	3.42274	0.132743	0.0663717	-3.28999	-3.28999	-3.28999	-3.28999	
1.04	2.93893	0.145903	0.0729517	-2.79302	-2.79302	-2.79302	-2.79302	
1.042	2.40877	0.157076	0.0785378	-2.25169	-2.25169	-2.25169	-2.25169	
1.044	1.84062	0.166082	0.0830411	-1.67454	-1.67454	-1.67454	-1.67454	
1.046	1.24345	0.17278	0.0863902	-1.07067	-1.07067	-1.07067	-1.07067	
1.048	0.626666	0.177063	0.0885316	-0.449603	-0.449603	-0.449603	-0.449603	
1.05	-2.18068e-13	0.178862	0.0894308	0.178862	0.178862	0.178862	0.178862	
1.052	-0.626666	0.178146	0.089073	0.804812	0.804812	0.804812	0.804812	
1.054	-1.24345	0.174927	0.0874634	1.41838	1.41838	1.41838	1.41838	
1.056	-1.84062	0.169253	0.0846267	2.00988	2.00988	2.00988	2.00988	
1.058	-2.40877	0.161214	0.0806069	2.56998	2.56998	2.56998	2.56998	
1.06	-2.93893	0.150934	0.0754669	3.08986	3.08986	3.08986	3.08986	
1.062	-3.42274	0.138574	0.0692872	3.56131	3.56131	3.56131	3.56131	
1.064	-3.85257	0.124329	0.0621646	3.9769	3.9769	3.9769	3.9769	
1.066	-4.22164	0.108422	0.0542108	4.33006	4.33006	4.33006	4.33006	
1.068	-4.52414	0.0911014	0.0455507	4.61524	4.61524	4.61524	4.61524	
1.07	-4.75528	0.0726404	0.0363202	4.82792	4.82792	4.82792	4.82792	
1.072	-4.91144	0.0533287	0.0266644	4.96477	4.96477	4.96477	4.96477	
1.074	-4.99013	0.0334697	0.0167348	5.0236	5.0236	5.0236	5.0236	
1.076	-4.99013	0.0133753	0.00668764	5.00351	5.00351	5.00351	5.00351	
1.078	-4.91144	-0.00663876	-0.00331938	4.9048	4.9048	4.9048	4.9048	
1.08	-4.75528	-0.0262579	-0.013129	4.72902	4.72902	4.72902	4.72902	
1.082	-4.52414	-0.045174	-0.022587	4.47896	4.47896	4.47896	4.47896	
1.084	-4.22164	-0.0630899	-0.0315449	4.15855	4.15855	4.15855	4.15855	
1.086	-3.85257	-0.0797241	-0.039862	3.77284	3.77284	3.77284	3.77284	
1.088	-3.42274	-0.0948155	-0.0474077	3.32792	3.32792	3.32792	3.32792	
1.09	-2.93893	-0.108127	-0.0540636	2.8308	2.8308	2.8308	2.8308	
1.092	-2.40877	-0.11945	-0.0597252	2.28932	2.28932	2.28932	2.28932	
1.094	-1.84062	-0.128608	-0.0643038	1.71202	1.71202	1.71202	1.71202	
1.096	-1.24345	-0.135456	-0.0677278	1.10799	1.10799	1.10799	1.10799	
1.098	-0.626666	-0.139888	-0.0699438	0.486779	0.486779	0.486779	0.486779	
1.1	2.35219e-13	-0.141835	-0.0709174	-0.141835	-0.141835	-0.141835	-0.141835	
1.102	0.626666	-0.141267	-0.0706337	-0.767934	-0.767934	-0.767934	-0.767934	
1.104	1.24345	-0.138196	-0.0690978	-1.38165	-1.38165	-1.38165	-1.38165	
1.106	1.84062	-0.132669	-0.0663346	-1.97329	-1.97329	-1.97329	-1.97329	
1.108	2.40877	-0.124776	-0.062388	-2.53354	-2.53354	-2.53354	-2.53354	
1.11	2.93893	-0.114642	-0.0573209	-3.05357	-3.05357	-3.05357	-3.05357	
1.112	3.42274	-0.102427	-0.0512137	-3.52516	-3.52516	-3.52516	-3.52516	
1.114	3.85257	-0.0883268	-0.0441634	-3.94089	-3.94089	-3.94089	-3.94089	
1.116	4.22164	-0.0725633	-0.0362816	-4.2942	-4.2942	-4.2942	-4.2942	
1.118	4.52414	-0.0553865	-0.0276932	-4.57952	-4.57952	-4.57952	-4.57952	
1.12	4.75528	-0.0370684	-0.0185342	-4.79235	-4.79235	-4.79235	-4.79235	
1.122	4.91144	-0.017899	-0.00894948	-4.92934	-4.92934	-4.92934	-4.92934	
1.124	4.99013	0.00181838	0.000909189	-4.98832	-4.98832	-4.98832	-4.98832	
1.126	4.99013	0.0217716	0.0108858	-4.96836	-4.96836	-4.96836	-4.96836	
1.128	4.91144	0.0416451	0.0208225	-4.86979	-4.86979	-4.86979	-4.86979	
1.13	4.75528	0.0611243	0.0305621	-4.69416	-4.69416	-4.69416	-4.69416	
1.132	4.52414	0.0799009	0.0399504	-4.44423	-4.44423	-4.44423	-4.44423	
1.134	4.22164	0.0976778	0.0488389	-4.12396	-4.12396	-4.12396	-4.12396	
1.136	3.85257	0.114174	0.0570868	-3.73839	-3.73839	-3.73839	-3.73839	
1.138	3.42274	0.129127	0.0645636	-3.29361	-3.29361	-3.29361	-3.29361	
1.14	2.93893	0.142302	0.0711508	-2.79662	-2.79662	-2.79662	-2.79662	
1.142	2.40877	0.153488	0.0767441	-2.25528	-2.25528	-2.25528	-2.25528	
1.144	1.84062	0.162509	0.0812546	-1.67811	-1.67811	-1.67811	-1.67811	
1.146	1.24345	0.169222	0.0846109	-1.07423	-1.07423	-1.07423	-1.07423	
1.148	0.626666	0.173519	0.0867593	-0.453148	-0.453148	-0.453148	-0.453148	
1.15	-2.5237e-13	0.175331	0.0876656	0.175331	0.175331	0.175331	0.175331	
1.152	-0.626666	0.17463	0.087315	0.801296	0.801296	0.801296	0.801296	
1.154	-1.24345	0.171425	0.0857124	1.41487	1.41487	1.41487	1.41487	
1.156	-1.84062	0.165765	0.0828826	2.00639	2.00639	2.00639	2.00639	
1.158	-2.40877	0.15774	0.0788698	2.56651	2.56651	2.56651	2.56651	
1.16	-2.93893	0.147474	0.0737368	3.0864	3.0864	3.0864	3.0864	
1.162	-3.42274	0.135128	0.067564	3.55786	3.55786	3.55786	3.55786	
1.164	-3.85257	0.120897	0.0604483	3.97346	3.97346	3.97346	3.97346	
1.166	-4.22164	0.105003	0.0525014	4.32664	4.32664	4.32664	4.32664	
1.168	-4.52414	0.0876962	0.0438481	4.61183	4.61183	4.61183	4.61183	
1.17	-4.75528	0.0692489	0.0346244	4.82453	4.82453	4.82453	4.82453	
1.172	-4.91144	0.0499507	0.0249754	4.96139	4.96139	4.96139	4.96139	
1.174	-4.99013	0.0301052	0.0150526	5.02024	5.02024	5.02024	5.02024	
1.176	-4.99013	0.0100242	0.00501211	5.00016	5.00016	5.00016	5.00016	
1.178	-4.91144	-0.0099764	-0.0049882	4.90146	4.90146	4.90146	4.90146	
1.18	-4.75528	-0.0295822	-0.0147911	4.7257	4.7257	4.7257	4.7257	
1.182	-4.52414	-0.048485	-0.0242425	4.47565	4.47565	4.47565	4.47565	
1.184	-4.22164	-0.0663876	-0.0331938	4.15525	4.15525	4.15525	4.15525	
1.186	-3.85257	-0.0830087	-0.0415043	3.76956	3.76956	3.76956	3.76956	
1.188	-3.42274	-0.0980869	-0.0490434	3.32465	3.32465	3.32465	3.32465	
1.19	-2.93893	-0.111385	-0.0556927	2.82754	2.82754	2.82754	2.82754	
1.192	-2.40877	-0.122696	-0.0613478	2.28607	2.28607	2.28607	2.28607	
1.194	-1.84062	-0.13184	-0.06592	1.70878	1.70878	1.70878	1.70878	
1.196	-1.24345	-0.138675	-0.0693375	1.10477	1.10477	1.10477	1.10477	
1.198	-0.626666	-0.143094	-0.0715471	0.483572	0.483572	0.483572	0.483572	
1.2	2.69521e-13	-0.145028	-0.0725142	-0.145028	-0.145028	-0.145028	-0.145028	
1.202	0.626666	-0.144448	-0.0722242	-0.771115	-0.771115	-0.771115	-0.771115	
1.204	1.24345	-0.141364	-0.0706819	-1.38481	-1.38481	-1.38481	-1.38481	
1.206	1.84062	-0.135825	-0.0679123	-1.97645	-1.97645	-1.97645	-1.97645	
1.208	2.40877	-0.127919	-0.0639594	-2.53669	-2.53669	-2.53669	-2.53669	
1.21	2.93893	-0.117772	-0.058886	-3.0567	-3.0567	-3.0567	-3.0567	
1.212	3.42274	-0.105545	-0.0527726	-3.52828	-3.52828	-3.52828	-3.52828	
1.214	3.85257	-0.0914322	-0.0457161	-3.944	-3.944	-3.944	-3.944	
1.216	4.22164	-0.0756562	-0.0378281	-4.2973	-4.2973	-4.2973	-4.2973	
1.218	4.52414	-0.058467	-0.0292335	-4.5826	-4.5826	-4.5826	-4.5826	
1.22	4.75528	-0.0401366	-0.0200683	-4.79542	-4.79542	-4.79542	-4.79542	
1.222	4.91144	-0.0209549	-0.0104775	-4.93239	-4.93239	-4.93239	-4.93239	
1.224	4.99013	-0.00122534	-0.000612671	-4.99136	-4.99136	-4.99136	-4.99136	
1.226	4.99013	0.0187401	0.00937005	-4.97139	-4.97139	-4.97139	-4.97139	
1.228	4.91144	0.0386257	0.0193128	-4.87281	-4.87281	-4.87281	-4.87281	
1.23	4.75528	0.0581169	0.0290585	-4.69717	-4.69717	-4.69717	-4.69717	
1.232	4.52414	0.0769056	0.0384528	-4.44723	-4.44723	-4.44723	-4.44723	
1.234	4.22164	0.0946945	0.0473472	-4.12695	-4.12695	-4.12695	-4.12695	
1.236	3.85257	0.111202	0.0556011	-3.74136	-3.74136	-3.74136	-3.74136	
1.238	3.42274	0.126168	0.0630839	-3.29657	-3.29657	-3.29657	-3.29657	
1.24	2.93893	0.139354	0.069677	-2.79957	-2.79957	-2.79957	-2.79957	
1.242	2.40877	0.150552	0.0752761	-2.25822	-2.25822	-2.25822	-2.25822	
1.244	1.84062	0.159585	0.0797926	-1.68104	-1.68104	-1.68104	-1.68104	
1.246	1.24345	0.166309	0.0831547	-1.07714	-1.07714	-1.07714	-1.07714	
1.248	0.626666	0.170618	0.0853089	-0.456048	-0.456048	-0.456048	-0.456048	
1.25	-2.86673e-13	0.172442	0.086221	0.172442	0.172442	0.172442	0.172442	
1.252	-0.626666	0.171752	0.0858761	0.798418	0.798418	0.798418	0.798418	
1.254	-1.24345	0.168559	0.0842793	1.41201	1.41201	1.41201	1.41201	
1.256	-1.84062	0.162911	0.0814553	2.00353	2.00353	2.00353	2.00353	
1.258	-2.40877	0.154896	0.0774482	2.56366	2.56366	2.56366	2.56366	
1.26	-2.93893	0.144642	0.0723209	3.08357	3.08357	3.08357	3.08357	
1.262	-3.42274	0.132308	0.0661538	3.55504	3.55504	3.55504	3.55504	
1.264	-3.85257	0.118087	0.0590437	3.97065	3.97065	3.97065	3.97065	
1.266	-4.22164	0.102205	0.0511024	4.32384	4.32384	4.32384	4.32384	
1.268	-4.52414	0.0849094	0.0424547	4.60904	4.60904	4.60904	4.60904	
1.27	-4.75528	0.0664732	0.0332366	4.82176	4.82176	4.82176	4.82176	
1.272	-4.91144	0.0471862	0.0235931	4.95862	4.95862	4.95862	4.95862	
1.274	-4.99013	0.0273517	0.0136758	5.01749	5.01749	5.01749	5.01749	
1.276	-4.99013	0.00728172	0.00364086	4.99742	4.99742	4.99742	4.99742	
1.278	-4.91144	-0.0127079	-0.00635397	4.89873	4.89873	4.89873	4.89873	
1.28	-4.75528	-0.0323029	-0.0161514	4.72298	4.72298	4.72298	4.72298	
1.282	-4.52414	-0.0511948	-0.0255974	4.47294	4.47294	4.47294	4.47294	
1.284	-4.22164	-0.0690865	-0.0345433	4.15255	4.15255	4.15255	4.15255	
1.286	-3.85257	-0.0856967	-0.0428484	3.76687	3.76687	3.76687	3.76687	
1.288	-3.42274	-0.100764	-0.0503821	3.32197	3.32197	3.32197	3.32197	
1.29	-2.93893	-0.114052	-0.0570261	2.82487	2.82487	2.82487	2.82487	
1.292	-2.40877	-0.125352	-0.0626758	2.28342	2.28342	2.28342	2.28342	
1.294	-1.84062	-0.134485	-0.0672426	1.70614	1.70614	1.70614	1.70614	
1.296	-1.24345	-0.14131	-0.0706549	1.10214	1.10214	1.10214	1.10214	
1.298	-0.626666	-0.145718	-0.0728592	0.480948	0.480948	0.480948	0.480948	
1.3	3.03824e-13	-0.147642	-0.0738211	-0.147642	-0.147642	-0.147642	-0.147642	
1.302	0.626666	-0.147052	-0.0735258	-0.773718	-0.773718	-0.773718	-0.773718	
1.304	1.24345	-0.143957	-0.0719784	-1.38741	-1.38741	-1.38741	-1.38741	
1.306	1.84062	-0.138407	-0.0692036	-1.97903	-1.97903	-1.97903	-1.97903	
1.308	2.40877	-0.130491	-0.0652455	-2.53926	-2.53926	-2.53926	-2.53926	
1.31	2.93893	-0.120334	-0.060167	-3.05926	-3.05926	-3.05926	-3.05926	
1.312	3.42274	-0.108097	-0.0540485	-3.53083	-3.53083	-3.53083	-3.53083	
1.314	3.85257	-0.0939736	-0.0469868	-3.94654	-3.94654	-3.94654	-3.94654	
1.316	4.22164	-0.0781874	-0.0390937	-4.29983	-4.29983	-4.29983	-4.29983	
1.318	4.52414	-0.0609881	-0.0304941	-4.58512	-4.58512	-4.58512	-4.58512	
1.32	4.75528	-0.0426476	-0.0213238	-4.79793	-4.79793	-4.79793	-4.79793	
1.322	4.91144	-0.0234559	-0.0117279	-4.93489	-4.93489	-4.93489	-4.93489	
1.324	4.99013	-0.00371633	-0.00185817	-4.99385	-4.99385	-4.99385	-4.99385	
1.326	4.99013	0.0162591	0.00812953	-4.97387	-4.97387	-4.97387	-4.97387	
1.328	4.91144	0.0361546	0.0180773	-4.87528	-4.87528	-4.87528	-4.87528	
1.33	4.75528	0.0556557	0.0278278	-4.69963	-4.69963	-4.69963	-4.69963	
1.332	4.52414	0.0744542	0.0372271	-4.44968	-4.44968	-4.44968	-4.44968	
1.334	4.22164	0.0922529	0.0461265	-4.12939	-4.12939	-4.12939	-4.12939	
1.336	3.85257	0.10877	0.0543852	-3.7438	-3.7438	-3.7438	-3.7438	
1.338	3.42274	0.123746	0.0618728	-3.29899	-3.29899	-3.29899	-3.29899	
1.34	2.93893	0.136942	0.0684708	-2.80198	-2.80198	-2.80198	-2.80198	
1.342	2.40877	0.14815	0.0740748	-2.26062	-2.26062	-2.26062	-2.26062	
1.344	1.84062	0.157192	0.078596	-1.68343	-1.68343	-1.68343	-1.68343	
1.346	1.24345	0.163926	0.0819629	-1.07952	-1.07952	-1.07952	-1.07952	
1.348	0.626666	0.168244	0.0841219	-0.458422	-0.458422	-0.458422	-0.458422	
1.35	-3.20975e-13	0.170078	0.0850388	0.170078	0.170078	0.170078	0.170078	
1.352	-0.626666	0.169397	0.0846986	0.796063	0.796063	0.796063	0.796063	
1.354	-1.24345	0.166213	0.0831065	1.40966	1.40966	1.40966	1.40966	
1.356	-1.84062	0.160574	0.0802872	2.0012	2.0012	2.0012	2.0012	
1.358	-2.40877	0.15257	0.0762848	2.56134	2.56134	2.56134	2.56134	
1.36	-2.93893	0.142324	0.0711621	3.08125	3.08125	3.08125	3.08125	
1.362	-3.42274	0.129999	0.0649996	3.55273	3.55273	3.55273	3.55273	
1.364	-3.85257	0.115788	0.0578941	3.96835	3.96835	3.96835	3.96835	
1.366	-4.22164	0.0999148	0.0499574	4.32155	4.32155	4.32155	4.32155	
1.368	-4.52414	0.0826286	0.0413143	4.60676	4.60676	4.60676	4.60676	
1.37	-4.75528	0.0642016	0.0321008	4.81948	4.81948	4.81948	4.81948	
1.372	-4.91144	0.0449236	0.0224618	4.95636	4.95636	4.95636	4.95636	
1.374	-4.99013	0.0250982	0.0125491	5.01523	5.01523	5.01523	5.01523	
1.376	-4.99013	0.00503725	0.00251862	4.99517	4.99517	4.99517	4.99517	
1.378	-4.91144	-0.0149434	-0.00747172	4.89649	4.89649	4.89649	4.89649	
1.38	-4.75528	-0.0345294	-0.0172647	4.72075	4.72075	4.72075	4.72075	
1.382	-4.52414	-0.0534124	-0.0267062	4.47072	4.47072	4.47072	4.47072	
1.384	-4.22164	-0.0712953	-0.0356477	4.15034	4.15034	4.15034	4.15034	
1.386	-3.85257	-0.0878967	-0.0439483	3.76467	3.76467	3.76467	3.76467	
1.388	-3.42274	-0.102955	-0.0514777	3.31978	3.31978	3.31978	3.31978	
1.39	-2.93893	-0.116234	-0.0581172	2.82269	2.82269	2.82269	2.82269	
1.392	-2.40877	-0.127525	-0.0637626	2.28124	2.28124	2.28124	2.28124	
1.394	-1.84062	-0.13665	-0.0683251	1.70397	1.70397	1.70397	1.70397	
1.396	-1.24345	-0.143466	-0.0717331	1.09998	1.09998	1.09998	1.09998	
1.398	-0.626666	-0.147866	-0.073933	0.4788	0.4788	0.4788	0.4788	
1.4	3.38126e-13	-0.149781	-0.0748906	-0.149781	-0.149781	-0.149781	-0.149781	
1.402	0.626666	-0.149182	-0.0745911	-0.775848	-0.775848	-0.775848	-0.775848	
1.404	1.24345	-0.146079	-0.0730394	-1.38953	-1.38953	-1.38953	-1.38953	
1.406	1.84062	-0.140521	-0.0702603	-1.98114	-1.98114	-1.98114	-1.98114	
1.408	2.40877	-0.132596	-0.066298	-2.54136	-2.54136	-2.54136	-2.54136	
1.41	2.93893	-0.122431	-0.0612153	-3.06136	-3.06136	-3.06136	-3.06136	
1.412	3.42274	-0.110185	-0.0550926	-3.53292	-3.53292	-3.53292	-3.53292	
1.414	3.85257	-0.0960535	-0.0480267	-3.94862	-3.94862	-3.94862	-3.94862	
1.416	4.22164	-0.080259	-0.0401295	-4.3019	-4.3019	-4.3019	-4.3019	
1.418	4.52414	-0.0630514	-0.0315257	-4.58719	-4.58719	-4.58719	-4.58719	
1.42	4.75528	-0.0447027	-0.0223513	-4.79999	-4.79999	-4.79999	-4.79999	
1.422	4.91144	-0.0255027	-0.0127514	-4.93694	-4.93694	-4.93694	-4.93694	
1.424	4.99013	-0.00575496	-0.00287748	-4.99589	-4.99589	-4.99589	-4.99589	
1.426	4.99013	0.0142286	0.0071143	-4.97591	-4.97591	-4.97591	-4.97591	
1.428	4.91144	0.0341322	0.0170661	-4.8773	-4.8773	-4.8773	-4.8773	
1.43	4.75528	0.0536414	0.0268207	-4.70164	-4.70164	-4.70164	-4.70164	
1.432	4.52414	0.072448	0.036224	-4.45169	-4.45169	-4.45169	-4.45169	
1.434	4.22164	0.0902547	0.0451274	-4.13138	-4.13138	-4.13138	-4.13138	
1.436	3.85257	0.10678	0.0533901	-3.74579	-3.74579	-3.74579	-3.74579	
1.438	3.42274	0.121763	0.0608817	-3.30097	-3.30097	-3.30097	-3.30097	
1.44	2.93893	0.134967	0.0674837	-2.80396	-2.80396	-2.80396	-2.80396	
1.442	2.40877	0.146183	0.0730916	-2.26259	-2.26259	-2.26259	-2.26259	
1.444	1.84062	0.155233	0.0776167	-1.68539	-1.68539	-1.68539	-1.68539	
1.446	1.24345	0.161975	0.0809875	-1.08147	-1.08147	-1.08147	-1.08147	
