Time	V(N1)	V(N2)	V(N3)	V(N4)	I(V1)	I(R1)	I(R2)	I(I1)	I(R3)	I(R4)	I(R5)	
0.35	-2	11.5	-18.75	-6.25	2.7	-2.7	2.3	5	-3.75	-1.25	-1.25	
0.36	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
0.37	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
0.38	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
0.39	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
0.4	9.95598e-15	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
0.41	0.618034	12.809	-18.75	-6.25	2.4382	-2.4382	2.5618	5	-3.75	-1.25	-1.25	
0.42	1.17557	13.0878	-18.75	-6.25	2.38244	-2.38244	2.61756	5	-3.75	-1.25	-1.25	
0.43	1.61803	13.309	-18.75	-6.25	2.3382	-2.3382	2.6618	5	-3.75	-1.25	-1.25	
0.44	1.90211	13.4511	-18.75	-6.25	2.30979	-2.30979	2.69021	5	-3.75	-1.25	-1.25	
0.45	2	13.5	-18.75	-6.25	2.3	-2.3	2.7	5	-3.75	-1.25	-1.25	
0.46	1.90211	13.4511	-18.75	-6.25	2.30979	-2.30979	2.69021	5	-3.75	-1.25	-1.25	
0.47	1.61803	13.309	-18.75	-6.25	2.3382	-2.3382	2.6618	5	-3.75	-1.25	-1.25	
0.48	1.17557	13.0878	-18.75	-6.25	2.38244	-2.38244	2.61756	5	-3.75	-1.25	-1.25	
0.49	0.618034	12.809	-18.75	-6.25	2.4382	-2.4382	2.5618	5	-3.75	-1.25	-1.25	
0.5	-1.27087e-14	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
0.51	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
0.52	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
0.53	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
0.54	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
0.55	-2	11.5	-18.75	-6.25	2.7	-2.7	2.3	5	-3.75	-1.25	-1.25	
0.56	-1.90211	11.5489	-18.75	-6.25	2.69021	-2.69021	2.30979	5	-3.75	-1.25	-1.25	
0.57	-1.61803	11.691	-18.75	-6.25	2.6618	-2.6618	2.3382	5	-3.75	-1.25	-1.25	
0.58	-1.17557	11.9122	-18.75	-6.25	2.61756	-2.61756	2.38244	5	-3.75	-1.25	-1.25	
0.59	-0.618034	12.191	-18.75	-6.25	2.5618	-2.5618	2.4382	5	-3.75	-1.25	-1.25	
0.6	2.01243e-14	12.5	-18.75	-6.25	2.5	-2.5	2.5	5	-3.75	-1.25	-1.25	
0.61	0.618034	12.809	-18.75	-6.25	2.4382	-2.4382	2.5618	5	-3.75	-1.25	-1.25	
0.62	1.17557	13.0878	-18.75	-6.25	2.38244	-2.38244	2.61756	5	-3.75	-1.25	-1.25	
0.63	1.61803	13.309	-18.75	-6.25	2.3382	-2.3382	2.6618	5	-3.75	-1.25	-1.25	
0.64	1.90211	13.4511	-18.75	-6.25	2.30979	-2.30979	2.69021	5	-3.75	-1.25	-1.25	
0.65	2	13.5	-18.75	-6.25	2.3	-2.3	2.7	5	-3.75	-1.25	-1.25	
0.66	1.90211	13.4511	-18.75	-6.25	2.30979	-2.30979	2.69021	5	-3.75	-1.25	-1.25	
