Time	V(N001)	V(N002)	I(V1)	I(R1)	I(L1)	
0.077	-4.96057	0.0295601	0.00499013	0.00499013	0.00499013	
0.078	-4.91144	0.0491373	0.00496057	0.00496057	0.00496057	
0.079	-4.84292	0.0685204	0.00491144	0.00491144	0.00491144	
0.08	-4.75528	0.0876332	0.00484292	0.00484292	0.00484292	
0.081	-4.64888	0.1064	0.00475528	0.00475528	0.00475528	
0.082	-4.52414	0.124747	0.00464888	0.00464888	0.00464888	
0.083	-4.38153	0.142602	0.00452414	0.00452414	0.00452414	
0.084	-4.22164	0.159894	0.00438153	0.00438153	0.00438153	
0.085	-4.04508	0.176555	0.00422164	0.00422164	0.00422164	
0.086	-3.85257	0.192519	0.00404508	0.00404508	0.00404508	
0.087	-3.64484	0.207723	0.00385257	0.00385257	0.00385257	
0.088	-3.42274	0.222108	0.00364484	0.00364484	0.00364484	
0.089	-3.18712	0.235616	0.00342274	0.00342274	0.00342274	
0.09	-2.93893	0.248194	0.00318712	0.00318712	0.00318712	
0.091	-2.67913	0.259792	0.00293893	0.00293893	0.00293893	
0.092	-2.40877	0.270366	0.00267913	0.00267913	0.00267913	
0.093	-2.1289	0.279872	0.00240877	0.00240877	0.00240877	
0.094	-1.84062	0.288274	0.0021289	0.0021289	0.0021289	
0.095	-1.54508	0.295538	0.00184062	0.00184062	0.00184062	
0.096	-1.24345	0.301636	0.00154508	0.00154508	0.00154508	
0.097	-0.936907	0.306543	0.00124345	0.00124345	0.00124345	
0.098	-0.626666	0.31024	0.000936907	0.000936907	0.000936907	
0.099	-0.313953	0.312714	0.000626666	0.000626666	0.000626666	
0.1	2.09798e-14	0.313953	0.000313953	0.000313953	0.000313953	
0.101	0.313953	0.313953	5.55112e-17	-2.09832e-17	-2.09793e-17	
0.102	0.626666	0.312714	-0.000313953	-0.000313953	-0.000313953	
0.103	0.936907	0.31024	-0.000626666	-0.000626666	-0.000626666	
0.104	1.24345	0.306543	-0.000936907	-0.000936907	-0.000936907	
0.105	1.54508	0.301636	-0.00124345	-0.00124345	-0.00124345	
0.106	1.84062	0.295538	-0.00154508	-0.00154508	-0.00154508	
0.107	2.1289	0.288274	-0.00184062	-0.00184062	-0.00184062	
0.108	2.40877	0.279872	-0.0021289	-0.0021289	-0.0021289	
0.109	2.67913	0.270366	-0.00240877	-0.00240877	-0.00240877	
0.11	2.93893	0.259792	-0.00267913	-0.00267913	-0.00267913	
0.111	3.18712	0.248194	-0.00293893	-0.00293893	-0.00293893	
0.112	3.42274	0.235616	-0.00318712	-0.00318712	-0.00318712	
0.113	3.64484	0.222108	-0.00342274	-0.00342274	-0.00342274	
0.114	3.85257	0.207723	-0.00364484	-0.00364484	-0.00364484	
0.115	4.04508	0.192519	-0.00385257	-0.00385257	-0.00385257	
0.116	4.22164	0.176555	-0.00404508	-0.00404508	-0.00404508	
0.117	4.38153	0.159894	-0.00422164	-0.00422164	-0.00422164	
0.118	4.52414	0.142602	-0.00438153	-0.00438153	-0.00438153	
0.119	4.64888	0.124747	-0.00452414	-0.00452414	-0.00452414	
